Instrument,Portfolios,Strategy IDs,Signal,Signal Number,Entry Datetime,Entry ID,Exit ID,Exit Datetime,Exit Type,Intraday/ Positional,Entry Price,Exit Price,Net points,only_date,exit_expiry,Symbol,Expiry date,StrikeDiff,LotSize,DTE_CNT,Trade Id,RollOver Id,Current Expiry / next expiry,tradingSymbol,Tracking Price,Tracking Price Time,Tracking Price Revised Time,Appreciation / depreciation,Appreciation %,Revised Appreciated Price,Revised Appreciated Time,A/D price Level,TARGET Profit %,SL %,Exit Time,Exit Price,Entry Price,Delayed exit price,Exit Type,RE_Appreciation / Depreciation,RE_Appreciation / Depreciation %,RE_Appreciation / Depreciation Price,RE A/D price Level,RE_Appreciation / Depreciation Time,RE_Entry Price,RE_Appreciation / Depreciation Exit Price,RE_Appreciation / Depreciation Exit Type,RE_Appreciation / Depreciation Exit Time,max_price - Between Signal start to signal end time,min_price - Between Signal start to signal end time,max_price - Between P_Price and appreciation/ depreciation price,Min_price - Between P_Price and appreciation/ depreciation price,After entry of appreciation/depreciation price till exit - max_price,After entry of appreciation/depreciation price till exit - min_price,After entry of RE_appreciation/depreciation price till exit - max_price,After entry of RE_appreciation/depreciation price till exit - min_price,Capital,Qty,Revised Qty,Qty_Reappreciation,Revised Qty_Reappreciation,ROI_Original,ROI_Reappreciation,Probability_Original,Probability_Reappreciation,Volume at entry,Volume at exit,Volume for x mins
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,3,2019-01-10 09:18:00,,P,,,93.19999999999709,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,4,2019-01-10 09:19:00,,P,,,90.79999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,5,2019-01-10 09:42:00,,P,,,144.04999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,6,2019-01-10 09:43:00,,P,,,129.75,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,7,2019-01-10 09:54:00,,P,,,125.29999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,8,2019-01-10 09:55:00,,P,,,126.89999999999782,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,9,2019-01-10 10:10:00,,P,,,133.84999999999854,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,10,2019-01-10 10:11:00,,P,,,127.14999999999782,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,11,2019-01-10 10:48:00,,P,,,106.79999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,12,2019-01-10 10:49:00,,P,,,101.89999999999782,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,13,2019-01-10 10:58:00,,P,,,108.09999999999854,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,14,2019-01-10 10:59:00,,P,,,108.34999999999854,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,15,2019-01-10 11:08:00,,P,,,140.14999999999782,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,16,2019-01-10 11:09:00,,P,,,130.34999999999854,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,17,2019-01-10 11:16:00,,P,,,141.89999999999782,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,18,2019-01-10 11:17:00,,P,,,143.75,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:23:00,3,19,2019-01-10 11:24:00,,P,,,143.0,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,1,2019-01-09 15:26:00,,P,,,0.0,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,2,2019-01-10 09:18:00,,P,,,85.84999999999854,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,3,2019-01-10 09:19:00,,P,,,83.45000000000073,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,4,2019-01-10 09:42:00,,P,,,136.70000000000073,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,5,2019-01-10 09:43:00,,P,,,122.40000000000146,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,6,2019-01-10 09:54:00,,P,,,117.95000000000073,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,7,2019-01-10 09:55:00,,P,,,119.54999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,8,2019-01-10 10:10:00,,P,,,126.5,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,9,2019-01-10 10:11:00,,P,,,119.79999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,10,2019-01-10 10:48:00,,P,,,99.45000000000073,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,11,2019-01-10 10:49:00,,P,,,94.54999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,12,2019-01-10 10:58:00,,P,,,100.75,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,13,2019-01-10 10:59:00,,P,,,101.0,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,14,2019-01-10 11:08:00,,P,,,132.79999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,15,2019-01-10 11:09:00,,P,,,123.0,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,16,2019-01-10 11:16:00,,P,,,134.54999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,17,2019-01-10 11:17:00,,P,,,136.40000000000146,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:26:00,4,18,2019-01-10 11:24:00,,P,,,135.65000000000146,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,14,2019-01-16 10:13:00,1,1,2019-01-16 10:13:00,,P,,,0.0,2019-01-16,2019-01-17,BANKNIFTY,2019-01-17,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,14,2019-01-16 12:58:00,2,1,2019-01-16 12:58:00,,P,,,0.0,2019-01-16,2019-01-17,BANKNIFTY,2019-01-17,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,14,2019-01-16 12:58:00,2,2,2019-01-16 13:13:00,,P,,,32.79999999999927,2019-01-16,2019-01-17,BANKNIFTY,2019-01-17,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,14,2019-01-16 12:58:00,2,3,2019-01-16 13:14:00,,P,,,34.95000000000073,2019-01-16,2019-01-17,BANKNIFTY,2019-01-17,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,14,2019-01-16 12:58:00,2,4,2019-01-16 13:21:00,,P,,,29.0,2019-01-16,2019-01-17,BANKNIFTY,2019-01-17,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,14,2019-01-16 12:58:00,2,5,2019-01-16 13:22:00,,P,,,29.150000000001455,2019-01-16,2019-01-17,BANKNIFTY,2019-01-17,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,14,2019-01-16 12:58:00,2,6,2019-01-16 13:37:00,,P,,,44.35000000000218,2019-01-16,2019-01-17,BANKNIFTY,2019-01-17,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
