Ticker,CASH,FUTURE,OPTIONS
RELIANCE,1/1/2013,1/1/2013,1/1/2013
SAIL,1/1/2013,1/1/2013,1/1/2013
SBIN,1/1/2013,1/1/2013,1/1/2013
SHREECEM,1/1/2013,3/31/2017,3/31/2017
SIEMENS,1/1/2013,1/1/2013,1/1/2013
SRF,1/1/2013,5/29/2015,5/29/2015
SUNPHARMA,1/1/2013,1/1/2013,1/1/2013
SUNTV,1/1/2013,1/1/2013,1/1/2013
TATACHEM,1/1/2013,1/1/2013,1/1/2013
TATACOMM,1/1/2013,1/1/2013,1/1/2013
TATAMOTORS,1/1/2013,1/1/2013,1/1/2013
TATAPOWER,1/1/2013,1/1/2013,1/1/2013
TATASTEEL,1/1/2013,1/1/2013,1/1/2013
TCS,1/1/2013,1/1/2013,1/1/2013
TECHM,1/1/2013,1/1/2013,1/1/2013
TITAN,1/1/2013,1/1/2013,1/1/2013
TORNTPHARM,1/1/2013,1/1/2016,1/1/2016
TRENT,1/1/2013,2/26/2021,2/26/2021
TVSMOTOR,1/1/2013,9/10/2014,9/10/2014
UBL,1/1/2013,10/3/2013,10/3/2013
ULTRACEMCO,1/1/2013,1/1/2013,1/1/2013
VOLTAS,1/1/2013,1/1/2013,1/1/2013
WIPRO,1/1/2013,1/1/2013,1/1/2013
ZEEL,1/1/2013,1/1/2013,1/1/2013
RAMCOCEM,9/30/2013,5/26/2017,5/26/2017
UPL,10/23/2013,10/23/2013,10/23/2013
VEDL,5/7/2015,5/7/2015,5/7/2015
SYNGENE,8/11/2015,8/27/2021,8/27/2021
INDIGO,11/10/2015,3/31/2017,3/31/2017
ALKEM,12/23/2015,2/26/2021,2/26/2021
LALPATHLAB,12/23/2015,1/1/2021,1/1/2021
ABFRL,1/29/2016,6/25/2021,6/25/2021
CROMPTON,5/13/2016,10/1/2021,10/1/2021
MGL,7/1/2016,4/28/2017,4/28/2017
RBLBANK,8/31/2016,5/26/2017,5/26/2017
LTTS,9/23/2016,2/26/2021,2/26/2021
ICICIPRULI,9/29/2016,6/30/2017,6/30/2017
LAURUSLABS,12/19/2016,10/29/2021,10/29/2021
AUBANK,7/10/2017,2/26/2021,2/26/2021
ABCAPITAL,9/1/2017,12/31/2021,12/31/2021
DIXON,9/18/2017,8/27/2021,8/27/2021
ICICIGI,9/27/2017,10/30/2020,10/30/2020
SBILIFE,10/3/2017,5/4/2020,5/4/2020
IEX,10/23/2017,8/27/2021,8/27/2021
HDFCLIFE,11/17/2017,2/28/2020,2/28/2020
BANDHANBNK,3/27/2018,2/28/2020,2/28/2020
HAL,3/28/2018,8/27/2021,8/27/2021
HDFCAMC,8/6/2018,1/1/2021,1/1/2021
IDFCFIRSTB,1/16/2019,1/16/2019,1/16/2019
DALBHARAT,1/22/2019,10/1/2021,10/1/2021
BSOFT,2/26/2019,2/26/2019,2/26/2019
METROPOLIS,4/15/2019,6/25/2021,6/25/2021
POLYCAB,4/16/2019,8/27/2021,8/27/2021
INDIAMART,7/4/2019,8/27/2021,8/27/2021
IRCTC,10/14/2019,2/26/2021,2/26/2021
TATACONSUM,2/27/2020,2/27/2020,2/27/2020
SBICARD,3/16/2020,10/29/2021,10/29/2021
COFORGE,8/20/2020,8/20/2020,8/20/2020
INDUSTOWER,12/18/2020,12/18/2020,12/18/2020
ZYDUSLIFE,3/7/2022,3/7/2022,3/7/2022
MOTHERSON,6/9/2022,6/9/2022,6/9/2022
LTIM,12/5/2022,12/5/2022,12/5/2022
SHRIRAMFIN,12/20/2022,12/20/2022,12/20/2022
PVRINOX,5/12/2023,5/12/2023,5/12/2023
